case_key,paper_m,reproduced_m,paper_n,reproduced_n,paper_nnz,reconstructed_nnz,nnz_difference,nnz_difference_pct,dimension_match,nnz_match,paper_time_comparable
case1354pegase:T4,20192,20192,4208,4208,7190640,4799808,-2390832,-33.24922399118854,True,False,False
case1354pegase:T16,82124,82124,16832,16832,28791792,19228464,-9563328,-33.21546640792626,True,False,False
case1354pegase:T48,247276,247276,50496,50496,86586352,57896368,-28689984,-33.13453371958666,True,False,False
case1354pegase:T96,495004,495004,100992,100992,173800432,116420464,-57379968,-33.01485924960186,True,False,False
case2868rte:T4,40163,40163,9488,9488,30111616,19073056,-11038560,-36.658809676637745,True,False,False
case2868rte:T16,163823,163823,37952,37952,120508576,76354336,-44154240,-36.63991515425425,True,False,False
case2868rte:T48,493583,493583,113856,113856,295998240,229507104,-66491136,-22.46335518751733,True,False,False
case2868rte:T56,576023,576023,132832,132832,345459808,267886816,-77572992,-22.454997717129512,True,False,False
case2868rte:T64,658463,658463,151808,151808,394957984,306303136,-88654848,-22.446652958406837,True,False,False
case2868rte:T72,740903,740903,170784,170784,444492768,344756064,-99736704,-22.43831872648151,True,False,False
case2868rte:T80,823343,823343,189760,189760,494064160,383245600,-110818560,-22.429993707699825,True,False,False
case2868rte:T88,905783,905783,208736,208736,543672160,421771744,-121900416,-22.421677063618635,True,False,False
case2868rte:T96,988223,988223,227712,227712,593316768,460334496,-132982272,-22.41336823300433,True,False,False
case9241pegase:T4,152774,152774,24700,24700,373238888,342863272,-30375616,-8.13838455118321,True,False,False
case9241pegase:T6,230376,230376,37050,37050,559872262,514308838,-45563424,-8.138182062679148,True,False,False
case9241pegase:T16,618386,618386,98800,98800,1493149532,1371647068,-121502464,-8.137327266697358,True,False,False
case9241pegase:T24,928794,928794,148200,148200,2239903828,2057650132,-182253696,-8.13667505371128,True,False,False
case9241pegase:T32,1239202,1239202,197600,197600,2986775884,2743770956,-243004928,-8.136028193536868,True,False,False
